Model,m,Variant,AUROC,Accuracy,Pairwise_Accuracy,Precision,Recall,F1_Score,Pairs,CorrectPairs
microsoft/graphcodebert-base,2,variant_1_full_processed.csv,0.46587487517823895,0.4670481452249408,0.4670481452249408,0.4670481452249408,0.4670481452249408,0.4670481452249408,5068,2367
microsoft/graphcodebert-base,2,variant_4_full_processed.csv,0.47050517461341845,0.48046566692975534,0.48046566692975534,0.48046566692975534,0.48046566692975534,0.48046566692975534,5068,2435
microsoft/graphcodebert-base,2,variant_5_full_processed.csv,0.4344912933122945,0.43528018942383584,0.43528018942383584,0.43528018942383584,0.43528018942383584,0.43528018942383584,5068,2206
microsoft/graphcodebert-base,2,variant_6_full_processed.csv,0.4528215986342646,0.4536306235201263,0.4536306235201263,0.4536306235201263,0.4536306235201263,0.4536306235201263,5068,2299
microsoft/graphcodebert-base,2,variant_7_full_processed.csv,0.5272522969384329,0.5242699289660616,0.5242699289660616,0.5242699289660616,0.5242699289660616,0.5242699289660616,5068,2657
microsoft/graphcodebert-base,2,variant_8_full_processed.csv,0.5420409340960983,0.5364120781527532,0.5364120781527532,0.5364120781527532,0.5364120781527532,0.5364120781527532,5067,2718
microsoft/graphcodebert-base,2,variant_9_full_processed.csv,0.6361640147930501,0.6370633510953226,0.6370633510953226,0.6370633510953226,0.6370633510953226,0.6370633510953226,5067,3228
microsoft/graphcodebert-base,2,variant_10_full_processed.csv,0.5430719575373049,0.5381882770870338,0.5381882770870338,0.5381882770870338,0.5381882770870338,0.5381882770870338,5067,2727
microsoft/graphcodebert-base,2,variant_11_full_processed.csv,0.4705173998264487,0.4723756906077348,0.4723756906077348,0.4723756906077348,0.4723756906077348,0.4723756906077348,5068,2394
microsoft/graphcodebert-base,2,variant_12_full_processed.csv,0.48542964849319964,0.4986187845303867,0.4986187845303867,0.4986187845303867,0.4986187845303867,0.4986187845303867,5068,2527
microsoft/graphcodebert-base,2,variant_13_full_processed.csv,0.41691922281296423,0.42707716597592266,0.42707716597592266,0.42707716597592266,0.42707716597592266,0.42707716597592266,5067,2164
microsoft/graphcodebert-base,4,variant_1_full_processed.csv,0.531834688333378,0.5408445146014207,0.5408445146014207,0.5408445146014207,0.5408445146014207,0.5408445146014207,5068,2741
microsoft/graphcodebert-base,4,variant_4_full_processed.csv,0.534765819425661,0.5396606156274665,0.5396606156274665,0.5396606156274665,0.5396606156274665,0.5396606156274665,5068,2735
microsoft/graphcodebert-base,4,variant_5_full_processed.csv,0.444379251960239,0.4538279400157853,0.4538279400157853,0.4538279400157853,0.4538279400157853,0.4538279400157853,5068,2300
microsoft/graphcodebert-base,4,variant_6_full_processed.csv,0.46405088507427633,0.4666535122336227,0.4666535122336227,0.4666535122336227,0.4666535122336227,0.4666535122336227,5068,2365
microsoft/graphcodebert-base,4,variant_7_full_processed.csv,0.567531025566113,0.5631412786108919,0.5631412786108919,0.5631412786108919,0.5631412786108919,0.5631412786108919,5068,2854
microsoft/graphcodebert-base,4,variant_8_full_processed.csv,0.5467061486598623,0.5366094335898954,0.5366094335898954,0.5366094335898954,0.5366094335898954,0.5366094335898954,5067,2719
microsoft/graphcodebert-base,4,variant_9_full_processed.csv,0.6391598485173355,0.6508782316952832,0.6508782316952832,0.6508782316952832,0.6508782316952832,0.6508782316952832,5067,3298
microsoft/graphcodebert-base,4,variant_10_full_processed.csv,0.5341199195824307,0.5265443062956384,0.5265443062956384,0.5265443062956384,0.5265443062956384,0.5265443062956384,5067,2668
microsoft/graphcodebert-base,4,variant_11_full_processed.csv,0.5487355197413052,0.5570244672454617,0.5570244672454617,0.5570244672454617,0.5570244672454617,0.5570244672454617,5068,2823
microsoft/graphcodebert-base,4,variant_12_full_processed.csv,0.5646026782404913,0.563733228097869,0.563733228097869,0.563733228097869,0.563733228097869,0.563733228097869,5068,2857
microsoft/graphcodebert-base,4,variant_13_full_processed.csv,0.4095173812417454,0.41286757450167755,0.41286757450167755,0.41286757450167755,0.41286757450167755,0.41286757450167755,5067,2092
microsoft/graphcodebert-base,8,variant_1_full_processed.csv,0.5947376336908806,0.6081294396211523,0.6081294396211523,0.6081294396211523,0.6081294396211523,0.6081294396211523,5068,3082
